timestamp,event,key,keysym,keycode
2025-08-13T15:09:48.586,press,.,period,60
2025-08-13T15:09:48.647,release,,period,60
2025-08-13T15:22:02.494,press,,Shift_L,50
2025-08-13T15:22:02.729,press,O,O,32
2025-08-13T15:22:02.810,release,,O,32
2025-08-13T15:22:02.831,release,,Shift_L,50
2025-08-13T15:22:03.024,press,m,m,58
2025-08-13T15:22:03.096,release,,m,58
2025-08-13T15:22:03.427,press,o,o,32
2025-08-13T15:22:03.522,release,,o,32
2025-08-13T15:22:04.179,press, ,space,65
2025-08-13T15:22:04.250,release,,space,65
2025-08-13T15:22:04.665,press,m,m,58
2025-08-13T15:22:04.726,release,,m,58
2025-08-13T15:22:05.092,press,e,e,26
2025-08-13T15:22:05.244,release,,e,26
2025-08-13T15:22:05.263,press,h,h,43
2025-08-13T15:22:05.344,release,,h,43
2025-08-13T15:22:05.495,press,n,n,57
2025-08-13T15:22:05.579,release,,n,57
2025-08-13T15:22:06.584,press,.,period,60
2025-08-13T15:22:06.635,release,,period,60
2025-08-13T15:22:06.896,press, ,space,65
2025-08-13T15:22:06.977,release,,space,65
2025-08-13T15:22:07.679,press,,Shift_L,50
2025-08-13T15:22:07.768,press,T,T,28
2025-08-13T15:22:07.849,release,,T,28
2025-08-13T15:22:07.879,release,,Shift_L,50
2025-08-13T15:22:08.010,press,h,h,43
2025-08-13T15:22:08.074,release,,h,43
2025-08-13T15:22:08.477,press,i,i,31
2025-08-13T15:22:08.551,release,,i,31
2025-08-13T15:22:08.812,press,s,s,39
2025-08-13T15:22:08.954,release,,s,39
2025-08-13T15:22:09.034,press, ,space,65
2025-08-13T15:22:09.099,release,,space,65
2025-08-13T15:22:10.080,press,t,t,28
2025-08-13T15:22:10.142,release,,t,28
2025-08-13T15:22:10.342,press,h,h,43
2025-08-13T15:22:10.403,release,,h,43
2025-08-13T15:22:10.658,press,i,i,31
2025-08-13T15:22:10.729,release,,i,31
2025-08-13T15:22:11.135,press,n,n,57
2025-08-13T15:22:11.196,release,,n,57
2025-08-13T15:22:11.457,press,g,g,42
2025-08-13T15:22:11.518,release,,g,42
2025-08-13T15:22:11.702,press, ,space,65
2025-08-13T15:22:11.763,release,,space,65
2025-08-13T15:22:12.100,press,h,h,43
2025-08-13T15:22:12.158,release,,h,43
2025-08-13T15:22:12.229,press,a,a,38
2025-08-13T15:22:12.360,release,,a,38
2025-08-13T15:22:12.594,press,r,r,27
2025-08-13T15:22:12.655,release,,r,27
2025-08-13T15:22:12.785,press,d,d,40
2025-08-13T15:22:12.847,release,,d,40
2025-08-13T15:22:13.163,press, ,space,65
2025-08-13T15:22:13.244,release,,space,65
2025-08-13T15:22:14.064,press,o,o,32
2025-08-13T15:22:14.127,release,,o,32
